# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
9.200000000000000000e+01 3.453850215536347730e-04 9.456372556660104511e-03 9.984588317321154196e-10 5.081401466282121837e+06 5.073570301424855031e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.300000000000000000e+01 2.690593883112416549e-04 6.532944939227512335e-03 5.848045066395039196e-10 6.045662226227942854e+06 3.535531273120491244e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.400000000000000000e+01 1.439521740185702257e-03 5.253803017239786627e-02 2.693636613065228241e-08 1.028666467613974935e+06 2.770850989001850603e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.500000000000000000e+01 1.239142694406195674e-03 4.511002462780588224e-02 2.003360642840320793e-08 1.187711999315772904e+06 2.379413497470270547e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.600000000000000000e+01 3.065962567864062831e-04 8.635755838128615289e-03 7.977657647217921536e-10 5.796780324760648422e+06 4.624473378084949238e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.700000000000000000e+01 2.256091172539962948e-04 5.932295388370473557e-03 4.210854316300911790e-10 7.579827960382095538e+06 3.191756390353801386e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.800000000000000000e+01 1.351284623468220532e-03 4.947946245456991826e-02 2.366826062073487778e-08 1.102363034786005737e+06 2.609099218249255614e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.900000000000000000e+01 1.168120985163804840e-03 4.253035028753145153e-02 1.748274985691692625e-08 1.283167466651909053e+06 2.243327864617967668e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.000000000000000000e+02 2.261792056694008257e-04 7.830519111593579190e-03 4.923187931983416068e-10 8.412104008256716654e+06 4.141438269147396968e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.010000000000000000e+02 1.548094145557228130e-04 5.350551427438484178e-03 2.280865559400454451e-10 1.240793154816462845e+07 2.830084900188408695e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.020000000000000000e+02 1.278143006651527450e-03 4.660090451835146447e-02 2.051661899330376978e-08 1.197984668323918711e+06 2.457857474920826721e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.030000000000000000e+02 1.109071969814039941e-03 4.004552863133391261e-02 1.511270355639929590e-08 1.398282967447725823e+06 2.113182117277744021e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
1.040000000000000000e+02 1.674697230885199741e-04 7.160973276553829481e-03 3.556190329637476332e-10 1.053923911200310290e+07 3.747956005746401822e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
