# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
7.000000000000000000e+01 3.022634293874099098e-01 1.799494518513507391e+00 1.123780036831913392e-03 1.069613847237004848e+03 1.200886908607331716e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.100000000000000000e+01 1.927254463835898768e-01 1.126844557452195694e+00 4.799716298596446275e-04 1.575400873860927732e+03 7.556677534798280638e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.200000000000000000e+01 7.986819500978332986e-02 2.310204052593818613e-01 5.994733171296503919e-05 3.259167540170855318e+03 1.953184503077612932e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.300000000000000000e+01 5.637045826678939442e-02 5.792000769804280802e-01 3.156308640456161551e-05 1.096123783080252178e+04 3.459389336705988582e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.400000000000000000e+01 1.888780774758907766e-01 1.863945617409046740e+00 5.464935338753344578e-04 2.050986547327833705e+03 1.120304392646538805e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.500000000000000000e+01 4.103260653934001079e-01 3.085404010604108738e+00 2.707418615096391420e-03 7.213616910976884355e+02 1.950320652080358208e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.600000000000000000e+01 5.470574258677523005e-01 3.667072615648694356e+00 4.877805641008244562e-03 4.880460413752609270e+02 2.375715928051091552e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.700000000000000000e+01 6.788003442584111813e-01 5.189457478718650485e+00 7.342066761639692678e-03 4.458593458617046394e+02 3.266187016856096470e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.800000000000000000e+01 7.982489493121314172e-01 6.651428457443089748e+00 9.812726909528876607e-03 4.202667837447827992e+02 4.114150451124147345e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.900000000000000000e+01 8.945410073323560862e-01 6.965671500548997308e+00 1.190647199870506490e-02 3.676468359462695048e+02 4.365470285608149759e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
